period,count
2020Q1,2
2020Q2,1
2020Q3,0
2020Q4,8
2021Q1,4
2021Q2,3
2021Q3,0
2021Q4,2
2022Q1,3
2022Q2,2
2022Q3,4
2022Q4,7
2023Q1,2
2023Q2,8
2023Q3,11
2023Q4,0
2024Q1,3
2024Q2,6
2024Q3,0
2024Q4,8
2025Q1,2
2025Q2,9
2025Q3,12
