domain,1986,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
physics,1,1,0,1,302,2897,6375,9249,11825,14569,18100,22002,25257,27552,29733,31672,33790,36386,37977,39176,41800,43070,45566,47831,51115,53375,55844,56939,59748,61605,62566,65933,69023,74243,73385,73085,76863,82552,90689
computer_science,0,0,0,2,4,2,15,253,255,239,195,364,385,572,674,754,932,1060,1386,1903,2842,3645,4875,7586,9125,12336,14941,16315,18840,23715,30813,41968,55533,71427,77519,82112,100026,125482,149828
mathematics,0,0,6,24,61,358,603,948,1198,1419,1849,2697,3349,4095,4359,5643,6656,8363,10011,12006,14256,15519,17587,21172,24163,27245,30223,32103,34737,36396,38484,40036,42985,46102,45138,45415,47929,51982,54626
statistics,0,0,0,0,0,0,0,1,0,0,1,1,2,9,17,26,37,162,304,510,853,1098,1105,1459,1993,3191,3413,3900,4685,5671,7550,12140,16906,17834,10400,10232,10763,11982,13106
electrical_engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,5,6,7,4,23,36,752,3677,9853,15708,14381,15837,17257,19526,20128
quantitative_biology,0,0,0,0,0,2,12,25,41,65,119,186,246,262,340,406,629,686,687,749,948,949,1033,1236,1417,1764,2334,2210,2300,2461,2486,2731,2916,4257,3301,3225,3788,4382,4996
finance,0,0,0,0,0,0,0,0,0,0,20,42,53,77,102,114,127,147,200,259,303,324,398,526,571,628,739,819,856,916,896,1058,1374,1848,1987,1783,2060,2390,2833
economics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,3,7,3,6,8,15,12,25,47,129,604,963,1541,1860,1759,1943,2291,2994
