,1986,1988,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
first,0,0,0,25,276,617,883,1182,1419,2085,2525,2975,3476,3859,3981,4536,4895,5498,5559,5895,6223,6874,7453,8121,8491,9055,9265,9848,10567,10749,11653,12298,13376,13111,13404,13770,14281,15496,243721
function,0,0,0,35,396,1025,1543,2070,2562,3063,3626,4094,4131,4511,4643,5114,5567,5926,6181,6482,6866,7141,7726,8087,8603,8728,9103,9278,9844,9597,10070,10487,11298,11149,10728,11587,11634,11885,234780
well,0,0,0,21,222,638,973,1287,1650,2175,2709,3075,3460,3754,4027,4362,4971,5284,5594,5953,6266,7010,7437,8061,8510,8947,9267,9844,10472,10632,11305,11858,12910,12777,12178,12273,12147,11706,233755
galaxies,0,0,0,0,18,329,778,1457,2271,3124,4160,4571,4759,5008,4861,5616,5939,6225,6576,6791,6883,8053,8112,8103,8096,8222,8372,8509,8999,8223,8635,8863,9234,8529,9770,10067,10738,11565,221456
stars,0,0,0,0,20,173,469,839,1167,1818,2613,3005,3655,3841,4149,4696,4934,5777,6448,6949,6797,7262,8086,8056,7987,8681,9099,9085,9302,9117,10245,9924,10609,9869,10116,10439,11500,12012,218739
space,0,0,0,80,551,1101,1400,1770,1964,2273,2742,3116,3553,3584,3806,3923,4542,4819,4994,5138,5268,5839,6240,6473,7176,7399,7689,8358,8523,8835,9674,10404,11476,11680,12100,12498,13771,14559,217318
potential,0,0,0,15,296,675,1099,1339,1537,1865,2330,2668,2836,2960,3289,3685,4152,4374,4656,5084,5402,5514,6190,6322,6747,7485,7838,8448,8627,8917,9518,10447,11286,11165,11474,13687,16534,18334,216795
effect,0,0,0,8,171,470,736,1168,1443,1800,2350,2657,2906,3282,3556,4111,4524,4747,5166,5432,5785,5969,6903,7208,7497,7962,8300,8896,9460,9888,10693,10784,12152,11578,11486,12486,12652,12222,216448
transition,0,0,0,6,351,640,1140,1442,1806,2287,2932,3134,3323,3797,4081,4156,4713,5004,5120,5192,5591,6060,6938,6821,7416,7455,7992,8775,9050,9386,9545,10151,11081,11190,10981,11544,11900,12867,213867
effects,0,0,0,7,312,740,1136,1549,1753,2397,2815,3278,3685,3737,3926,4290,4666,4773,4917,5525,5652,5941,6357,6580,7132,7664,8086,8458,8803,9130,9135,9601,10565,10916,10572,10832,12465,14144,211539
matter,0,0,0,47,311,740,969,1354,1591,1878,2394,2476,2980,3134,3423,3672,4081,4254,4547,4835,5511,6566,6420,7073,7552,7863,8131,8865,8898,9113,9630,10535,10892,10809,11275,11439,12750,13688,209696
found,0,0,0,24,333,745,1080,1603,1924,2390,3118,3614,3854,4334,4383,4878,5255,5573,5750,6054,6134,6797,7122,7533,7821,8403,8230,8688,8978,9066,9169,9207,10152,9705,9400,9627,9135,7605,207684
