period,count
2020Q1,30
2020Q2,10
2020Q3,11
2020Q4,7
2021Q1,6
2021Q2,18
2021Q3,20
2021Q4,7
2022Q1,4
2022Q2,10
2022Q3,13
2022Q4,4
2023Q1,8
2023Q2,6
2023Q3,11
2023Q4,15
2024Q1,13
2024Q2,10
2024Q3,19
2024Q4,23
2025Q1,19
2025Q2,16
2025Q3,17

