period,count
2020Q1,10
2020Q2,9
2020Q3,1
2020Q4,5
2021Q1,5
2021Q2,14
2021Q3,6
2021Q4,1
2022Q1,5
2022Q2,4
2022Q3,10
2022Q4,9
2023Q1,9
2023Q2,6
2023Q3,1
2023Q4,17
2024Q1,10
2024Q2,13
2024Q3,3
2024Q4,19
2025Q1,21
2025Q2,22
2025Q3,14
