,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
space,0,0,0,0,6,7,17,23,26,48,48,43,81,71,96,166,224,340,383,517,800,1177,1478,1619,1965,2290,2983,3968,5680,8227,10491,11223,12259,14453,17332,20136,118177
human,0,0,0,0,23,14,5,11,10,12,15,13,17,21,27,67,66,75,114,177,350,411,585,896,1146,1347,2157,3393,4807,6598,8706,9832,11103,16275,22744,26297,117314
high,0,0,0,0,11,5,0,6,31,17,34,61,28,74,71,112,154,243,312,478,812,943,1324,1491,1993,2385,2873,4103,5704,7833,10086,10868,11294,13088,16220,20088,112742
without,0,0,0,0,17,15,12,13,19,24,24,34,50,59,76,120,130,227,250,354,547,740,920,1161,1323,1731,2356,3237,4836,6859,9057,10124,11329,14272,18117,24443,112476
techniques,0,0,0,0,26,34,32,39,24,36,99,47,60,79,120,141,128,252,336,525,904,1051,1522,1847,2187,2322,2967,4053,5559,7401,9601,10238,10283,13836,18521,17731,112001
address,0,0,0,0,5,6,9,9,20,0,12,23,23,25,29,41,59,96,94,142,236,322,486,593,777,939,1412,2017,3105,4403,6068,7024,8064,14342,24531,36269,111181
compared,0,0,0,0,11,11,13,8,19,9,19,18,29,24,42,61,80,197,203,257,494,606,890,1136,1301,1759,2334,3477,4852,6819,9142,10263,11763,14586,19390,21264,111077
optimal,0,0,0,0,5,5,12,7,26,44,37,53,89,84,85,212,289,507,594,902,1378,1927,2238,2551,3031,3209,4043,4927,5951,7561,9921,9947,10165,11704,13576,15299,110379
many,0,0,0,0,27,25,20,23,23,39,80,103,79,127,127,127,208,322,401,630,1008,1346,1795,2158,2556,2930,3671,4864,6692,8674,11148,11904,12299,12700,12500,11531,110137
via,0,0,0,0,5,5,6,0,13,21,28,28,31,41,48,72,92,153,210,282,488,654,915,1124,1398,1739,2363,2996,4359,6140,8491,9865,11311,13533,16280,27203,109894
llms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,490,14207,41806,53333,109848
due,0,0,0,0,0,7,10,7,10,16,15,20,27,35,60,61,110,155,207,295,590,614,895,1062,1292,1584,2214,3116,4456,6282,8599,9807,11273,14836,19843,22177,109675
well,0,0,0,0,12,24,26,20,31,30,77,71,77,101,126,180,263,327,411,616,937,1247,1697,1997,2278,2867,3590,4755,6559,8644,11120,11672,11918,12589,13148,11880,109290
available,0,0,0,0,17,11,10,12,35,16,41,28,26,54,54,71,97,164,194,284,467,551,789,1071,1274,1416,2023,2806,4075,6142,8670,10440,12308,15430,19535,20687,108798
function,0,0,0,0,12,23,10,8,44,38,71,70,97,116,130,217,283,339,506,635,1050,1455,1882,2214,2388,2872,3349,4443,6039,8364,10444,10350,11108,12362,13344,13989,108252
evaluation,0,0,0,0,15,18,31,32,39,31,44,34,43,41,57,59,99,133,166,255,374,455,739,934,971,1286,1966,2459,3796,5327,7027,8346,9172,13154,20186,29916,107205
feature,0,0,0,0,31,42,20,25,13,0,15,10,23,18,35,24,36,57,92,179,344,435,699,807,1175,1570,2348,3500,5070,7288,9784,10738,11884,13967,17156,19363,106748
prediction,0,0,0,0,6,0,0,0,11,24,27,14,11,27,15,53,55,80,60,96,214,256,466,583,791,1112,1829,2746,4627,6644,9416,10612,11857,14429,17979,20867,104907
often,0,0,0,0,8,11,14,10,15,14,23,27,27,28,50,50,75,120,132,202,325,445,680,831,981,1263,1675,2417,3524,4923,6455,7438,8481,11921,20315,32268,104748
given,0,0,0,0,42,43,27,19,46,69,90,105,161,147,147,235,359,474,651,858,1361,1750,2194,2616,2876,3243,3812,4864,6112,7586,9744,9991,10295,11565,12117,10656,104255
complex,0,0,0,0,20,23,15,16,17,29,32,53,62,80,73,114,145,230,259,347,561,807,1002,1316,1458,1647,2079,2817,3980,5157,6713,7747,8553,12034,19124,27254,103764
recent,0,0,0,0,14,10,12,17,14,16,20,33,39,52,50,83,110,126,174,256,442,577,780,1056,1235,1542,2105,2902,4539,6179,8565,9919,11121,13657,17050,19451,102146
challenges,0,0,0,0,0,0,0,0,0,0,8,7,13,15,14,15,22,48,67,98,198,231,360,483,645,813,1156,1718,2818,3794,5363,6705,7121,13379,24586,31078,100755
domain,0,0,0,0,22,35,24,18,35,20,38,52,67,65,81,75,86,113,141,225,383,532,671,853,988,1224,1804,2616,4265,6548,9123,11009,11791,14014,16098,16014,99030
significant,0,0,0,0,0,10,9,0,11,12,17,26,23,24,32,47,67,143,141,212,356,439,673,848,936,1245,1656,2318,3199,4541,5929,6434,7273,12777,22947,26340,98685
quality,0,0,0,0,6,7,10,0,6,8,8,19,24,18,27,44,70,101,157,241,511,519,860,1097,1358,1440,2130,2801,4176,5532,7141,8293,9499,12035,17872,22663,98673
linear,0,0,0,0,17,19,10,17,44,37,36,81,69,120,104,263,335,453,676,870,1197,1618,2087,2609,2788,3279,3584,4143,5002,6824,8876,8948,9464,10334,11462,12986,98352
computational,0,0,0,0,32,44,36,23,25,37,79,83,92,97,90,105,125,214,255,416,575,741,1108,1366,1628,1884,2268,3031,3976,5475,7288,7991,8550,11102,16313,23195,98244
representation,0,0,0,0,33,43,32,15,27,19,61,45,81,70,57,85,116,177,164,291,404,581,713,1094,1171,1648,2092,3018,4385,6357,8251,9900,11741,13116,15006,16897,97690
including,0,0,0,0,17,14,15,5,19,15,29,50,39,63,36,77,107,130,157,228,391,537,753,892,1019,1280,1819,2491,3660,4979,6982,7701,8690,12747,18244,23641,96827
complexity,0,0,0,0,13,26,18,19,43,82,108,127,146,140,171,329,360,545,695,945,1455,1609,1967,2581,2872,3084,3446,4138,4676,5791,7322,7531,7921,9471,12770,15724,96125
several,0,0,0,0,20,18,29,29,55,36,62,70,78,106,126,149,206,297,440,593,841,1195,1494,1851,2009,2585,3254,4002,5478,7299,9563,10162,10503,11217,11823,10212,95802
users,0,0,0,0,0,0,0,11,19,30,31,49,29,85,57,99,193,318,359,617,1049,1190,1662,2193,2391,2819,3487,4418,5625,6166,7843,8367,8780,10883,12584,13020,94374
visual,0,0,0,0,0,0,0,0,0,7,0,0,6,14,11,15,21,60,43,69,137,141,227,353,570,1075,1710,2806,3753,5286,6261,7484,8327,11749,17536,25580,93241
solution,0,0,0,0,0,15,6,8,30,42,68,45,100,79,87,108,159,275,354,559,810,1054,1313,1723,1984,2119,2483,3303,4309,6017,8369,8689,9102,10835,13401,15498,92944
improve,0,0,0,0,8,14,13,9,20,9,23,22,32,27,42,54,81,138,161,247,390,530,774,930,1075,1370,1878,2716,4231,6007,8342,9638,10866,12765,14545,15785,92742
structure,0,0,0,0,45,50,42,37,47,41,61,76,98,122,95,154,190,361,439,550,913,1268,1718,2052,2292,2423,3111,3832,5081,6651,8126,8435,8677,9827,11235,14290,92339
three,0,0,0,0,16,18,19,20,18,21,45,29,52,64,52,86,117,204,252,325,568,633,922,1183,1285,1546,2158,2786,3984,5481,7496,8562,9317,11561,14157,19124,92101
dynamic,0,0,0,0,11,11,12,10,16,15,39,41,50,51,71,107,122,223,248,355,565,799,1142,1193,1408,1619,2161,2713,3852,5009,6485,7450,8134,10498,15071,22219,91700
significantly,0,0,0,0,7,7,7,8,8,6,13,13,10,14,21,33,53,96,133,167,303,413,562,698,921,1104,1693,2374,3449,4582,6183,7026,7779,10882,18499,24258,91322
potential,0,0,0,0,0,12,6,0,6,10,15,28,22,29,31,44,45,75,122,170,269,352,465,732,778,1012,1328,1917,2647,3618,5229,6160,7129,14202,21694,22864,91011
input,0,0,0,0,22,18,26,24,26,22,30,36,45,47,86,111,122,201,232,327,585,659,879,1113,1227,1693,2311,3411,4930,6559,8564,9122,9870,11621,13185,13849,90953
distribution,0,0,0,0,8,0,15,7,13,27,38,56,50,101,94,188,172,283,398,490,766,978,1448,1668,1653,1990,2274,3044,4216,5904,7794,8504,9542,11508,13325,14138,90692
efficiency,0,0,0,0,8,12,8,8,14,13,19,26,26,28,48,66,86,171,214,259,395,497,742,981,1168,1341,1658,2291,3091,4339,5691,6536,7390,10451,17570,24600,89747
realworld,0,0,0,0,0,0,0,0,0,0,8,0,5,0,9,13,24,26,40,50,111,206,364,408,551,760,1168,1687,2613,4033,5661,7008,8371,12016,17550,26547,89229
better,0,0,0,0,9,14,17,23,20,15,17,31,34,43,72,66,93,136,202,310,538,619,933,1172,1374,1668,2307,3196,4669,6541,8741,9810,10986,11665,11993,11305,88619
segmentation,0,0,0,0,10,8,7,12,0,0,0,0,16,0,29,18,11,28,41,70,144,136,243,324,446,852,1527,2505,4504,6360,8025,9347,10332,13530,14834,15072,88431
user,0,0,0,0,6,7,5,16,19,14,41,53,42,68,70,95,172,239,266,455,736,903,1234,1649,1978,2100,2766,3618,4407,5427,6830,7355,7738,9499,13654,16646,88108
estimation,0,0,0,0,0,0,9,8,0,9,8,7,9,23,30,71,66,170,195,255,444,607,927,1177,1401,1844,2583,3197,4521,6047,7871,8952,9627,10781,12377,14641,87857
robust,0,0,0,0,11,23,11,26,8,18,19,17,13,24,28,42,54,74,127,159,297,462,656,823,936,1236,1600,2404,3422,5248,6936,7641,8676,10334,14086,22371,87782
within,0,0,0,0,16,28,24,24,15,24,35,56,72,97,61,101,131,190,290,370,565,709,944,1140,1334,1414,1807,2337,3284,4289,5423,5889,6307,10779,19031,20900,87686
semantic,0,0,0,0,62,66,65,60,17,14,39,29,57,42,36,68,50,75,134,162,314,363,427,587,645,1052,1693,2386,3900,5052,6194,7547,8801,11514,14272,21367,87090
key,0,0,0,0,5,6,0,0,18,18,18,35,38,62,98,131,105,193,241,334,616,698,1028,1092,1279,1437,1829,2415,3357,4413,5870,6592,7071,8971,14323,24080,86373
parameters,0,0,0,0,11,12,9,9,10,14,27,23,35,47,52,71,92,181,251,307,526,641,1055,1253,1323,1678,2149,2972,3997,5773,7610,8358,8793,10776,13337,14248,85640
may,0,0,0,0,12,26,22,25,31,53,74,73,82,115,107,137,172,231,330,457,790,1010,1355,1718,1770,2023,2463,3256,4277,5621,7750,8502,9075,10542,11738,11758,85595
case,0,0,0,0,21,12,23,19,34,52,71,111,90,96,124,228,320,494,628,925,1313,1568,1960,2409,2552,2702,3168,3728,4629,6013,7520,7984,7949,8703,9534,10429,85409
error,0,0,0,0,15,9,12,9,27,36,45,39,38,57,50,142,231,364,399,523,746,824,1331,1452,1553,1909,2266,3104,4115,5983,7674,8044,8501,9857,11547,14441,85343
attention,0,0,0,0,5,8,0,0,0,0,15,9,13,6,10,30,36,52,69,72,174,206,260,409,446,658,1272,1958,3347,5267,7044,8897,9646,11123,14704,19007,84743
local,0,0,0,0,22,8,9,19,11,18,31,67,51,63,66,78,135,188,283,367,604,880,1112,1224,1472,1931,2417,2975,3962,5267,7397,8329,9040,9886,11830,14125,83867
power,0,0,0,0,0,0,0,0,23,17,13,37,42,39,60,165,200,533,543,645,1049,1233,1686,2189,2626,2957,3260,4224,4625,5764,7377,7502,7422,8976,9746,10730,83683
achieve,0,0,0,0,7,0,0,11,20,14,8,22,15,24,36,54,84,158,198,306,461,573,734,900,1079,1420,1887,2704,3938,5512,7172,8177,9120,11299,13131,14542,83606
effective,0,0,0,0,10,9,6,9,9,12,18,20,30,42,47,62,60,121,142,191,372,440,632,726,856,1177,1481,2166,3278,4460,6097,7110,7869,10869,15726,19528,83575
text,0,0,0,0,67,41,64,68,47,23,30,27,30,39,33,44,96,76,104,135,273,238,465,530,655,796,1435,2146,3215,4614,6018,7076,8206,13038,16865,16568,83062
architecture,0,0,0,0,24,12,12,13,26,14,26,49,45,83,73,67,95,180,150,213,350,387,547,734,921,1187,1824,2781,4535,6246,7828,8518,8623,9362,12031,15842,82798
state,0,0,0,0,9,24,12,21,28,31,44,65,52,82,85,104,180,238,285,498,752,1052,1400,1587,1760,2137,2688,3597,4543,5947,7690,7932,7999,8669,10635,12227,82373
experimental,0,0,0,0,11,15,15,10,17,7,27,23,25,33,46,53,62,126,137,200,371,470,741,896,1067,1272,1761,2578,3895,5134,6794,7680,8367,10497,13725,16020,82075
extensive,0,0,0,0,5,5,0,0,5,0,0,7,11,9,10,9,22,35,50,54,152,183,292,336,465,677,898,1445,2135,3354,4915,6545,8021,11861,18314,22226,82041
object,0,0,0,0,0,0,0,0,0,18,20,39,28,36,39,43,31,77,75,160,234,319,415,510,897,1421,2070,2982,4295,5688,7339,8392,9912,11505,12898,12394,81837
effectiveness,0,0,0,0,0,0,0,0,0,8,12,9,19,0,10,11,18,39,66,85,170,246,333,463,588,805,1189,1773,2632,4058,5459,6425,7338,11702,18107,20243,81808
communication,0,0,0,0,8,0,0,0,20,27,18,59,38,67,109,146,239,338,439,640,992,1080,1508,1676,2049,2225,2794,3326,4069,4973,6120,7100,7658,9123,11293,13511,81645
reasoning,0,0,0,0,16,21,20,5,13,0,81,18,74,60,41,33,59,43,102,115,147,263,279,781,463,458,519,798,1139,1793,2501,2852,3595,6993,13844,44405,81531
video,0,0,0,0,0,0,0,0,13,0,0,0,0,11,9,11,10,31,43,96,205,261,340,624,769,1184,1949,2480,3712,4538,6014,7283,8012,9864,14371,19166,80996
achieves,0,0,0,0,0,0,0,0,6,0,8,7,7,0,16,26,44,92,114,133,258,277,375,414,531,779,1184,1703,2689,3843,5405,6408,7539,9525,13584,25862,80829
order,0,0,0,0,37,33,38,30,42,50,76,76,79,124,157,175,263,374,519,609,1046,1340,1738,2059,2209,2671,3229,3987,5115,7025,8524,8606,8051,7895,7658,6718,80553
current,0,0,0,0,23,16,11,14,25,17,34,39,34,36,45,44,68,102,141,225,420,473,675,813,945,1178,1613,2200,3341,4497,6087,6817,7671,10551,14809,17347,80311
inference,0,0,0,0,14,0,0,0,5,0,49,15,33,36,58,38,50,68,79,108,191,290,802,1030,772,939,1249,1756,3159,4409,5877,6706,7499,9863,14115,20815,80025
graphs,0,0,0,0,15,11,0,5,12,19,46,52,57,79,142,161,221,365,528,588,1145,1493,2146,2246,2409,2782,3107,3618,4365,5466,6347,6821,7123,8597,9057,10190,79213
general,0,0,0,0,29,26,39,23,52,56,97,88,144,142,111,207,306,369,494,682,1053,1361,1689,1985,2078,2392,2812,3248,3906,5430,6678,7185,7540,8574,9593,10552,78941
modeling,0,0,0,0,14,8,14,7,19,12,51,38,34,49,38,57,86,138,134,206,357,368,668,848,1040,1136,1524,2233,3024,4158,5645,6707,7403,9592,12948,19857,78413
functions,0,0,0,17,15,9,10,16,34,52,83,87,70,118,103,174,235,203,484,514,859,1070,1273,1782,1794,2106,2436,2910,4201,5747,7273,7446,7629,8970,9714,10867,78301
loss,0,0,0,0,0,0,0,0,8,0,12,0,9,10,16,46,38,85,114,113,304,308,400,519,618,890,1163,2213,3618,5558,7505,8341,8766,10384,11828,13760,76626
benchmark,0,0,0,0,0,0,0,0,5,0,10,0,6,13,12,20,17,52,41,46,93,158,224,305,433,607,970,1490,2264,3576,5048,6239,7105,9883,14871,23109,76597
even,0,0,0,0,6,19,13,8,19,28,32,42,61,51,75,102,134,186,288,362,590,759,1091,1277,1449,1661,2241,2787,3784,4878,6453,7174,7739,9238,10921,13115,76583
representations,0,0,0,0,22,18,20,18,9,19,15,15,27,6,24,27,36,66,62,89,115,198,298,484,606,894,1307,2081,3359,4823,6468,7749,8950,10175,12069,16212,76261
recognition,0,0,0,0,21,25,46,19,13,6,34,8,35,24,44,45,48,78,68,148,391,318,428,802,1123,1570,2464,3443,4661,5853,7522,8234,8767,9261,10156,10159,75814
search,0,0,0,0,15,25,26,42,20,42,51,88,85,94,147,131,160,220,289,478,662,1067,1329,1379,1593,1582,1978,2855,3757,5395,6780,7307,7022,8072,9564,11628,73883
understanding,0,0,0,0,20,20,11,9,10,15,23,25,19,23,19,38,49,53,71,129,186,296,382,456,610,842,1117,1521,2484,3220,4597,5323,5958,9591,15815,20940,73872
rate,0,0,0,0,5,0,19,0,62,30,27,28,11,27,42,179,314,492,626,726,1110,1217,1538,1755,2056,2206,2614,3224,4079,4990,6311,6320,6772,7323,9061,10661,73825
trained,0,0,0,0,0,5,0,9,7,0,8,0,0,0,16,15,6,20,14,23,49,45,69,113,245,511,1116,2172,3792,5485,7450,8069,8816,10255,11721,13423,73454
evaluate,0,0,0,0,7,0,0,5,7,6,20,12,15,12,30,28,51,66,92,113,226,327,464,557,717,1000,1496,2167,3166,4343,5900,6625,7118,9604,12211,16851,73236
challenging,0,0,0,0,0,0,0,0,0,0,0,0,5,15,9,14,10,20,26,73,151,187,303,379,565,817,1346,2097,3210,4624,6295,7233,7881,10276,12244,15293,73073
single,0,0,0,0,15,9,15,12,19,10,27,41,42,52,43,68,96,151,254,405,561,695,888,1070,1221,1446,2137,2845,3875,5100,6331,6946,7268,8353,10109,12609,72713
energy,0,0,0,0,0,0,0,0,0,0,7,12,21,23,22,58,89,197,279,273,531,734,1093,1725,2147,2354,2894,2990,3593,4850,5980,6567,6721,8090,9455,11912,72617
simple,0,0,0,0,28,28,30,23,60,62,100,52,105,93,110,174,226,348,485,560,873,1043,1431,1585,1715,1992,2341,2991,3974,5003,6301,6771,7295,7986,8803,9868,72456
scenarios,0,0,0,0,0,0,0,0,0,0,10,0,14,0,8,25,33,63,74,150,220,213,394,455,555,669,1020,1415,2109,2909,4245,5224,6213,9932,16067,20170,72187
