period,count
2020Q1,4
2020Q2,4
2020Q3,1
2020Q4,5
2021Q1,3
2021Q2,7
2021Q3,4
2021Q4,7
2022Q1,15
2022Q2,5
2022Q3,3
2022Q4,14
2023Q1,15
2023Q2,10
2023Q3,13
2023Q4,25
2024Q1,20
2024Q2,24
2024Q3,25
2024Q4,30
2025Q1,41
2025Q2,35
2025Q3,33
