period,count
2020Q1,0
2020Q2,0
2020Q3,0
2020Q4,0
2021Q1,0
2021Q2,0
2021Q3,0
2021Q4,0
2022Q1,0
2022Q2,1
2022Q3,0
2022Q4,1
2023Q1,4
2023Q2,4
2023Q3,27
2023Q4,12
2024Q1,11
2024Q2,24
2024Q3,23
2024Q4,29
2025Q1,34
2025Q2,55
2025Q3,32

