period,count
2020Q1,68
2020Q2,28
2020Q3,28
2020Q4,58
2021Q1,75
2021Q2,59
2021Q3,39
2021Q4,38
2022Q1,68
2022Q2,42
2022Q3,39
2022Q4,33
2023Q1,47
2023Q2,38
2023Q3,40
2023Q4,46
2024Q1,70
2024Q2,48
2024Q3,50
2024Q4,77
2025Q1,48
2025Q2,90
2025Q3,75

