period,count
2020Q1,4
2020Q2,44
2020Q3,32
2020Q4,25
2021Q1,34
2021Q2,31
2021Q3,22
2021Q4,16
2022Q1,17
2022Q2,13
2022Q3,27
2022Q4,11
2023Q1,9
2023Q2,13
2023Q3,8
2023Q4,16
2024Q1,10
2024Q2,5
2024Q3,6
2024Q4,7
2025Q1,16
2025Q2,13
2025Q3,11
