period,count
2020Q1,0
2020Q2,3
2020Q3,2
2020Q4,5
2021Q1,8
2021Q2,3
2021Q3,6
2021Q4,9
2022Q1,3
2022Q2,9
2022Q3,1
2022Q4,0
2023Q1,4
2023Q2,3
2023Q3,1
2023Q4,3
2024Q1,4
2024Q2,1
2024Q3,1
2024Q4,2
2025Q1,2
2025Q2,5
2025Q3,6

