,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
discrete,0,0,0,9,20,33,38,58,79,141,225,249,245,309,394,389,622,649,807,912,1027,1296,1460,1659,1964,2054,2401,2354,2634,2906,2842,3076,3153,3226,3410,3806,4062,48509
family,0,0,6,17,36,68,76,81,144,161,207,236,247,341,417,474,646,703,912,1012,1088,1345,1534,1865,1958,2191,2211,2491,2518,2719,2895,3290,3094,3085,3198,3494,3739,48499
fields,0,0,0,30,27,45,73,94,153,192,282,409,381,411,497,533,681,794,990,1128,1131,1442,1712,1826,1991,2099,2190,2333,2507,2618,2814,2799,2947,2926,3056,3505,3873,48489
spectral,0,0,0,13,24,37,35,50,80,134,232,201,306,346,413,444,530,665,809,865,991,1286,1527,1719,1842,2017,2197,2292,2666,2603,2780,2956,3001,3046,3369,3587,4713,47776
invariant,0,0,14,41,75,93,136,155,215,343,371,462,477,581,669,872,851,1069,1044,1090,1418,1503,1706,1844,1901,2218,2238,2123,2327,2418,2546,2813,2701,2567,2931,2970,2990,47772
whose,0,0,0,19,31,51,79,79,102,204,190,221,279,372,437,513,640,730,890,870,1103,1318,1558,1810,1922,1949,2282,2236,2485,2730,2889,3120,3064,3055,3235,3350,3881,47694
related,0,0,0,19,61,84,96,114,145,219,296,333,347,385,525,664,702,779,962,1003,1218,1404,1632,1834,2063,2117,2243,2317,2381,2506,2746,2994,2875,2867,2941,3200,3127,47199
small,0,0,0,8,10,29,35,44,44,99,127,162,181,248,293,380,484,665,749,911,980,1239,1521,1872,1934,2147,2341,2538,2749,2597,2999,3162,3183,3069,3241,3400,3430,46871
stability,0,0,0,0,9,12,20,21,22,47,110,115,136,151,184,280,296,410,521,705,773,978,1158,1319,1592,1790,2084,2318,2511,2687,2985,3365,3511,3402,3961,4248,5110,46831
degree,0,0,0,26,55,57,86,113,123,132,161,230,228,327,405,500,605,690,804,889,1069,1272,1601,1698,2006,2085,2350,2318,2534,2542,2762,2890,2930,2938,3145,3517,3579,46667
manifold,0,0,5,31,65,116,116,205,294,346,456,460,504,667,710,844,897,982,1187,1290,1378,1502,1597,1847,1867,1934,2073,2028,2168,2363,2522,2681,2489,2359,2636,2695,2953,46267
vector,0,0,0,50,53,108,112,114,215,195,312,345,364,444,521,543,678,805,870,1046,1181,1393,1507,1733,1992,2145,2208,2308,2546,2514,2672,2840,2712,2719,2884,3103,2988,46220
numbers,0,0,0,24,24,46,58,65,122,189,197,305,262,354,408,557,702,874,937,1042,1121,1279,1521,1724,1971,2004,2208,2402,2371,2570,2674,2959,2873,2832,2859,3151,3429,46114
constant,0,0,0,9,22,27,44,69,79,94,134,165,222,296,403,441,555,682,867,976,1168,1429,1454,1753,1913,2164,2158,2226,2551,2685,2780,2883,2916,2905,3094,3308,3594,46066
estimates,0,0,0,6,8,10,9,16,25,47,92,103,123,141,193,290,443,582,616,801,879,1080,1398,1602,1802,2155,2299,2239,2619,2778,2875,3182,3072,3178,3297,3861,4232,46053
global,0,0,0,0,9,35,26,28,46,92,107,133,130,151,274,302,374,551,599,760,883,1023,1362,1556,1632,1790,2050,2144,2501,2701,3016,3264,3387,3288,3540,3863,4427,46044
representation,0,0,0,34,73,69,134,158,222,290,313,352,364,439,574,654,771,799,998,1164,1251,1512,1536,1714,1837,2046,2261,2267,2326,2357,2420,2548,2650,2586,2880,3113,3305,46017
product,0,0,0,34,53,110,99,154,179,220,313,322,389,451,583,680,739,809,955,930,1192,1273,1549,1794,1942,2071,2337,2254,2321,2366,2578,2689,2522,2690,2860,3258,3237,45953
continuous,0,0,7,19,29,68,36,56,77,112,136,145,208,219,271,445,518,734,729,930,968,1233,1509,1669,1822,1943,2244,2301,2433,2676,2936,3036,3014,3168,3069,3393,3743,45896
finally,0,0,0,9,26,35,37,42,58,99,102,142,152,167,236,313,381,493,596,615,727,1021,1209,1415,1598,1887,2036,2311,2450,2519,2950,3352,3373,3438,3623,4066,4239,45717
complete,0,0,0,19,31,73,76,107,148,156,220,272,271,380,427,514,647,727,897,923,1097,1303,1580,1781,1913,1971,2217,2245,2375,2550,2637,2806,2744,2779,2971,3169,3665,45691
application,0,0,0,19,26,39,47,59,98,115,159,206,194,255,308,389,506,657,726,787,927,1135,1273,1658,1782,1953,2087,2363,2385,2658,2788,3088,2986,3085,3260,3688,3807,45513
derive,0,0,0,6,18,23,28,51,56,86,137,148,149,187,258,307,410,538,650,791,879,1101,1253,1434,1711,1985,2010,2300,2424,2435,2724,3157,3146,3004,3284,3838,4888,45416
dimensional,0,0,8,37,61,114,118,132,184,280,324,401,402,421,582,663,734,1006,917,1088,1242,1473,1700,1950,2065,2281,2336,2317,2382,2408,2651,2673,2536,2508,2414,2515,2171,45094
classes,0,0,8,22,34,100,85,102,137,177,227,276,312,361,444,578,659,772,943,936,1139,1267,1414,1690,1948,2014,2190,2257,2338,2345,2554,2946,2787,2857,2752,2952,3343,44966
codes,0,0,0,0,0,0,0,0,9,9,27,26,41,55,107,126,591,599,829,933,937,1255,1370,1838,2008,1838,2272,2423,2849,2552,2825,2791,3024,2903,3103,3791,3643,44774
channel,0,0,0,0,0,0,0,0,0,0,0,17,11,12,11,86,321,444,787,1013,1251,1742,1829,1873,2139,2376,2446,2653,2821,2617,2552,2706,2987,2960,2767,3104,2727,44252
cases,0,0,0,16,29,50,48,75,68,122,192,186,221,306,341,437,524,617,820,775,958,1209,1418,1648,1832,1956,2106,2267,2412,2449,2620,2946,2878,2861,3144,3312,3399,44242
fixed,0,0,0,12,23,31,50,62,80,117,146,191,204,297,378,415,598,649,754,861,981,1252,1406,1592,1854,1950,2212,2200,2451,2528,2707,2931,2753,2923,2853,3188,3514,44163
lower,0,0,0,9,7,15,20,24,43,73,95,101,129,148,224,318,417,472,656,661,830,1027,1295,1491,1685,1861,2114,2269,2556,2501,2765,3148,3179,3046,3352,3562,3885,43978
geometric,0,0,0,15,40,56,69,113,134,167,215,260,291,402,502,537,560,682,815,936,1057,1253,1347,1644,1784,1843,1895,2092,2235,2278,2437,2628,2607,2735,2882,3183,4240,43934
parameter,0,0,9,10,26,44,45,70,73,89,130,161,167,229,239,288,430,525,691,644,833,989,1287,1473,1726,1825,1977,2181,2320,2416,2771,3087,3086,2950,3345,3587,4158,43881
moreover,0,0,0,8,18,24,19,39,48,65,99,127,129,163,195,261,320,426,567,677,794,1005,1159,1402,1592,1755,2087,2170,2457,2547,2873,3240,3216,3378,3560,3756,3666,43842
free,0,0,0,34,39,53,70,131,121,167,246,297,320,370,461,662,776,824,923,1132,1176,1300,1555,1792,1964,1971,2176,2147,2318,2278,2375,2644,2482,2378,2606,2647,3063,43498
introduced,0,0,0,15,34,44,73,101,125,162,182,222,256,301,335,451,526,652,691,809,964,1183,1374,1568,1732,1899,2037,2063,2279,2370,2611,2813,2826,2825,3015,3295,3453,43286
parameters,0,0,0,0,17,28,35,37,57,63,72,99,96,160,182,218,307,377,532,594,630,862,1100,1327,1532,1716,1981,1995,2197,2347,2790,3473,3321,3312,3697,4011,4121,43286
infinite,0,0,0,38,30,72,81,73,126,207,198,259,264,342,439,563,654,728,864,978,1158,1378,1515,1740,1807,1989,2292,2104,2252,2367,2573,2587,2532,2519,2629,2920,2990,43268
three,0,0,0,13,25,38,54,65,86,138,148,224,223,293,297,416,467,654,731,791,994,1217,1323,1576,1743,1953,2069,2100,2213,2398,2477,2803,2888,2975,3078,3341,3409,43220
closed,0,0,0,22,46,62,64,95,127,211,239,280,330,416,459,571,701,752,1012,1009,1191,1260,1449,1626,1809,1897,2038,2101,2305,2309,2375,2538,2531,2530,2677,2747,2886,42665
surfaces,0,0,0,24,78,127,166,162,202,301,331,388,354,434,526,706,748,938,897,1004,1213,1356,1306,1503,1833,1733,1966,2037,1992,2031,2408,2540,2484,2427,2656,2760,2899,42530
special,0,0,0,13,49,61,66,87,132,151,216,282,344,407,482,494,609,669,844,854,1068,1316,1429,1728,1852,1952,1981,2278,2307,2252,2502,2720,2661,2547,2656,2623,2806,42438
learning,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,21,36,29,47,71,138,173,296,308,346,464,617,867,1197,1829,3153,4720,4890,5045,5643,6195,6203,42306
coefficients,0,0,0,23,36,43,45,84,90,120,149,183,190,252,357,494,582,636,791,910,1062,1271,1420,1562,1748,1968,2026,2105,2275,2219,2392,2699,2690,2680,2733,3067,3244,42146
flow,0,0,0,0,0,16,17,35,38,55,94,104,113,204,276,297,369,451,684,664,811,982,1344,1390,1562,1664,1865,1856,2224,2365,2581,3072,3133,2807,3213,3652,3994,41932
geometry,0,0,0,38,51,129,85,143,188,253,307,420,412,528,546,634,749,837,959,965,967,1218,1357,1548,1628,1863,1818,2018,1981,2124,2246,2357,2297,2284,2582,2879,3500,41911
series,0,0,6,22,31,74,93,71,121,165,193,284,278,330,410,529,642,779,934,890,997,1125,1244,1568,1661,1752,1845,2148,2224,2381,2313,2675,2704,2564,2684,3052,3118,41907
value,0,0,0,0,6,12,20,38,43,67,100,111,120,171,234,304,431,475,600,675,838,966,1241,1426,1758,1918,1983,2039,2288,2489,2640,2954,2902,2935,3073,3241,3298,41396
sequence,0,0,0,36,13,50,26,58,45,100,115,154,199,206,360,451,567,613,758,822,976,1113,1386,1587,1682,1816,2103,2106,2261,2430,2505,2746,2613,2621,2758,2900,3164,41340
respect,0,0,0,16,31,53,48,61,83,104,135,157,173,247,332,417,498,650,758,853,896,1147,1335,1419,1665,1846,2062,2160,2266,2372,2630,2756,2755,2686,2833,2780,2983,41207
surface,0,0,0,23,53,71,121,108,166,236,312,266,326,385,477,535,611,708,781,908,1051,1252,1346,1478,1605,1654,1905,1970,2091,1961,2441,2611,2746,2595,2814,2754,2811,41172
topological,0,0,8,42,76,75,63,83,109,170,248,212,317,358,382,501,478,607,629,811,935,1178,1204,1386,1491,1675,1926,2097,2141,2189,2525,2493,2528,2834,2779,2930,3344,40824
integral,0,0,0,20,44,54,86,96,132,188,184,266,240,299,492,497,520,612,861,907,1012,1261,1409,1504,1773,1788,1914,1941,2210,2221,2319,2649,2546,2498,2672,2765,2830,40810
arbitrary,0,0,0,19,56,58,70,88,125,152,226,230,226,327,400,479,559,655,742,849,949,1290,1361,1612,1671,1812,1893,2076,2257,2203,2514,2473,2498,2459,2606,2671,2975,40581
curves,0,0,0,67,48,86,136,198,180,262,321,288,417,490,547,698,608,864,1015,971,1077,1241,1417,1681,1638,1670,1949,2033,2066,1977,2177,2308,2152,2121,2444,2683,2679,40509
partial,0,0,0,18,25,31,40,34,82,99,121,121,128,178,221,269,375,492,550,671,759,1020,1272,1419,1607,1699,2022,2026,2129,2252,2583,2770,2621,2816,3076,3373,3478,40377
states,0,0,0,0,26,32,55,93,124,184,251,311,336,397,388,522,540,492,624,665,795,1293,1469,1716,1537,1809,1919,1938,2024,2071,2225,2331,2447,2463,2685,3057,3344,40163
investigate,0,0,0,8,11,30,26,41,45,79,91,113,124,166,220,289,366,470,540,641,739,974,1139,1305,1504,1650,1854,1970,2113,2215,2448,2716,2758,2691,3202,3545,4077,40160
representations,0,0,0,37,131,148,190,207,291,386,437,458,433,542,590,746,697,769,959,960,1086,1269,1407,1521,1618,1752,1885,1915,1842,2044,1917,2116,2124,2014,2258,2481,2794,40024
map,0,0,9,29,40,110,69,121,100,183,264,244,280,387,448,546,627,710,800,905,1088,1122,1398,1522,1598,1662,1880,1861,2002,2139,2414,2311,2356,2264,2446,2697,2804,39436
size,0,0,0,5,10,26,26,13,8,43,56,74,71,107,115,222,301,392,530,594,640,888,998,1228,1564,1709,1797,2182,2165,2321,2455,2835,3054,2870,3098,3419,3533,39349
values,0,0,0,11,18,36,48,61,77,104,160,191,177,284,340,407,475,567,706,729,838,1006,1303,1403,1564,1712,1913,1973,2072,2244,2316,2654,2622,2584,2677,2929,2980,39181
structures,0,0,0,22,48,77,100,133,165,220,240,257,337,420,453,565,635,677,749,807,942,1134,1121,1310,1569,1559,1639,1773,1864,1997,2044,2336,2288,2351,2611,3046,3452,38941
maps,0,0,31,58,42,97,60,121,116,190,231,233,242,273,459,553,538,729,852,948,968,1182,1264,1548,1633,1547,1822,1812,2132,1931,2204,2271,2243,2348,2505,2655,2970,38808
natural,0,0,0,26,46,64,76,111,113,149,197,252,289,338,373,498,574,703,784,851,973,1154,1297,1474,1600,1737,1790,1933,1964,2097,2191,2412,2255,2346,2510,2596,2799,38572
weak,0,0,0,11,23,24,39,36,35,103,99,107,153,181,199,289,343,475,445,599,812,952,1202,1361,1586,1746,1936,1958,2135,2395,2318,2611,2510,2522,2806,3133,3275,38419
domain,0,0,0,8,8,11,26,25,42,55,52,106,109,146,189,271,314,414,501,576,695,905,945,1240,1481,1671,1806,1868,2222,2420,2283,2732,2635,2737,3076,3311,3335,38215
find,0,0,0,9,30,42,55,56,79,120,162,208,221,270,311,404,492,585,679,721,810,1163,1230,1447,1551,1692,1825,1826,2040,2073,2395,2616,2695,2670,2725,2724,2281,38207
processes,0,0,0,0,0,8,0,15,11,53,60,48,85,119,170,367,522,614,822,833,944,1238,1489,1585,1650,1836,1993,1951,2123,2123,2254,2399,2360,2339,2307,2717,2847,37882
initial,0,0,0,0,0,16,9,17,29,46,79,84,140,150,194,229,332,423,552,567,757,946,1092,1429,1458,1589,1881,1794,2024,2063,2551,2680,2681,2668,2756,3176,3427,37839
even,0,0,0,14,25,57,48,48,58,86,133,136,165,212,251,308,370,442,495,654,697,891,1052,1335,1465,1583,1588,1851,1953,2121,2214,2619,2655,2741,2887,3159,3459,37772
may,0,0,0,15,36,42,44,57,60,114,166,181,191,242,261,329,417,532,627,647,843,1009,1218,1358,1535,1647,1773,1793,2054,2147,2300,2572,2606,2619,2670,2730,2889,37724
upper,0,0,0,5,0,15,18,22,32,60,59,107,107,148,210,237,335,458,540,600,782,989,1207,1283,1477,1680,1759,2012,2111,2145,2292,2687,2557,2634,2830,3181,3134,37713
potential,0,0,0,0,7,10,21,21,39,124,159,190,202,233,258,367,483,553,622,645,795,1040,1187,1331,1402,1417,1625,1638,2023,1976,2063,2415,2376,2459,2993,3412,3489,37575
minimal,0,0,0,21,25,37,71,53,92,147,127,193,186,311,319,468,483,636,741,877,981,1180,1233,1301,1630,1658,1780,1879,2005,2032,2251,2310,2244,2295,2374,2625,3008,37573
category,0,0,0,7,19,41,76,75,98,161,182,254,306,318,371,461,580,756,792,823,1057,1124,1275,1337,1408,1617,1708,1880,1905,1991,2052,2302,2072,2240,2597,2628,2823,37336
derived,0,0,0,6,24,39,34,51,81,104,138,181,168,229,282,337,484,557,736,777,814,1067,1245,1520,1558,1677,1822,2000,2006,1989,2162,2379,2324,2238,2569,2623,2994,37215
setting,0,0,0,14,10,15,6,23,27,39,54,75,89,97,130,183,260,326,383,482,532,629,808,1073,1182,1380,1525,1751,1897,2208,2383,2900,2874,2882,3125,3413,4440,37215
curvature,0,0,0,14,12,47,47,59,108,123,173,199,267,370,482,485,588,552,831,899,961,1105,1374,1410,1564,1605,1680,1827,1952,1871,2096,2224,2148,2200,2416,2548,2861,37098
connected,0,0,0,21,34,57,70,98,99,144,174,208,227,306,340,440,489,608,672,722,853,1015,1203,1369,1514,1628,1822,1941,2043,2150,2308,2355,2265,2174,2466,2573,2655,37043
variables,0,0,0,8,18,33,41,54,67,81,121,181,176,219,264,363,455,550,690,712,780,1026,1263,1365,1604,1516,1799,1741,2013,2050,2294,2411,2508,2425,2518,2774,2778,36898
complexity,0,0,0,17,11,19,17,18,11,28,20,50,90,101,111,161,234,258,428,468,566,722,871,1055,1342,1434,1701,1810,2069,1973,2366,2737,2786,2858,3036,3525,3722,36615
demonstrate,0,0,0,0,0,10,8,0,10,22,28,46,47,49,57,78,102,139,243,232,260,435,495,720,835,986,1174,1335,1654,1713,2225,2720,2794,2970,3704,5008,6282,36381
various,0,0,0,20,21,41,47,54,69,95,126,156,164,225,234,292,357,460,549,585,619,853,994,1193,1280,1424,1491,1685,1786,1854,2098,2368,2497,2717,3042,3716,3222,36334
standard,0,0,0,19,24,43,48,76,77,138,122,187,206,254,266,324,421,490,558,612,765,900,1016,1230,1318,1449,1611,1684,1882,2007,2103,2384,2615,2383,2625,2801,3513,36151
density,0,0,0,0,0,15,21,14,25,58,112,131,121,217,200,310,420,544,670,701,887,1171,1323,1292,1488,1699,1862,1662,1960,1966,2043,2366,2456,2375,2370,2701,2869,36049
recent,0,0,0,12,24,27,41,54,47,80,118,148,147,217,291,307,414,455,551,587,747,878,1010,1189,1343,1583,1611,1642,1776,1845,2165,2562,2437,2567,2770,3011,3214,35870
multiple,0,0,0,0,6,9,9,21,20,32,41,59,80,79,169,200,276,349,439,536,591,751,920,1070,1300,1542,1662,1801,2096,2181,2282,2792,2646,2668,2957,3117,3157,35858
proved,0,0,0,22,32,56,73,76,115,134,192,244,211,285,347,381,563,613,744,801,976,1064,1202,1407,1572,1673,1795,1845,2059,1996,2115,2249,2129,2371,2120,2154,2120,35736
zero,0,0,0,10,26,38,51,43,78,107,178,225,196,291,346,403,498,681,753,793,908,1085,1228,1357,1501,1624,1787,1823,1908,1981,2067,2206,2021,2148,2224,2479,2482,35546
stable,0,0,0,21,11,45,54,68,85,105,173,168,164,210,297,346,424,523,644,757,781,1091,1105,1180,1460,1468,1568,1798,1980,2080,2051,2365,2414,2251,2368,2497,2843,35395
called,0,0,0,20,16,36,41,56,57,105,121,134,190,206,257,354,395,516,586,656,757,958,1151,1274,1495,1559,1710,1734,1978,2043,2201,2493,2364,2457,2577,2558,2321,35376
version,0,0,0,20,32,67,63,75,93,137,179,197,211,264,330,410,476,577,638,684,894,983,1054,1240,1337,1598,1612,1678,1903,1944,2165,2321,2162,2302,2533,2520,2487,35186
gaussian,0,0,0,0,10,13,8,9,12,30,39,56,64,98,131,237,378,471,571,713,878,1169,1242,1338,1482,1658,1823,1919,1879,1883,2031,2409,2316,2282,2366,2618,2948,35081
without,0,0,0,8,20,19,29,25,33,83,81,118,119,156,155,211,287,349,470,540,623,800,933,1149,1206,1378,1516,1712,1820,1967,2185,2577,2472,2568,2804,3167,3474,35054
including,0,0,0,10,12,28,23,39,50,72,99,86,133,161,174,245,279,378,392,499,518,704,893,1037,1131,1237,1388,1432,1649,1830,2016,2346,2515,2496,2883,3526,4433,34714
elliptic,0,0,0,23,56,58,68,98,170,172,201,216,201,289,368,494,445,504,621,698,732,953,1108,1307,1379,1531,1701,1806,2012,1930,2133,2298,2092,2051,2193,2252,2521,34681
strong,0,0,0,9,16,23,27,27,35,70,79,88,101,125,177,233,294,383,474,530,673,818,932,1156,1330,1522,1669,1741,1916,2188,2166,2461,2227,2456,2464,2816,3396,34622
measures,0,0,0,11,23,21,14,29,22,77,94,86,158,176,190,325,422,541,540,659,691,1012,1156,1176,1403,1541,1776,1842,1707,2018,2148,2251,2139,2353,2372,2702,2868,34543
singular,0,0,0,18,29,43,51,51,130,144,178,221,242,247,339,396,424,546,591,706,719,914,1067,1224,1214,1449,1594,1637,1909,1976,2186,2356,2220,2298,2214,2431,2776,34540
open,0,0,0,17,25,16,45,57,49,82,122,146,171,214,273,403,404,554,489,613,793,946,1025,1215,1317,1472,1660,1626,1820,1854,2104,2256,2285,2293,2484,2720,2957,34507
rank,0,0,0,17,28,46,63,99,107,109,142,191,192,216,325,398,440,561,740,740,807,965,1065,1267,1471,1542,1633,1799,1935,1827,1930,2214,2250,2254,2117,2266,2575,34331
estimation,0,0,0,0,0,0,0,0,0,0,7,17,10,17,33,91,204,283,425,520,506,583,851,1050,1296,1450,1531,1853,1998,2014,2330,2593,2837,2733,2683,2948,3317,34180
forms,0,0,0,34,33,74,100,116,129,161,199,220,273,315,408,458,510,599,690,765,812,1034,1128,1321,1547,1608,1507,1725,2043,1816,1773,2063,1943,2033,2029,2259,2417,34142
independent,0,0,0,6,17,31,25,32,41,75,83,95,124,144,188,302,392,483,599,622,755,946,1077,1212,1401,1508,1693,1756,1852,1894,2233,2338,2265,2323,2323,2545,2658,34038
critical,0,0,11,18,10,20,40,28,30,68,116,132,151,224,253,351,371,471,542,563,739,867,1122,1231,1273,1301,1579,1681,1795,1758,2027,2133,2125,2102,2415,2945,3523,34015
possible,0,0,0,16,29,40,39,45,64,107,149,153,173,230,266,331,417,492,608,635,779,982,1150,1308,1421,1508,1653,1735,1900,1957,2074,2288,2298,2168,2253,2411,2162,33841
part,0,0,0,17,28,52,76,75,103,157,182,239,212,265,304,436,445,660,595,729,749,1016,1099,1250,1436,1449,1655,1663,1768,1940,1975,2196,2152,2107,2132,2200,2135,33497
considered,0,0,0,16,26,44,36,46,79,120,147,170,213,240,269,315,446,547,655,683,771,999,1151,1344,1508,1538,1670,1802,1861,1978,2135,2324,2204,2105,2169,2109,1724,33444
notion,0,0,0,18,26,54,56,62,77,113,125,192,211,290,280,392,463,545,597,659,771,1000,1079,1205,1313,1504,1567,1570,1753,1862,2115,2263,2158,2145,2287,2289,2403,33444
example,0,0,5,27,18,55,55,88,87,140,182,205,220,275,293,396,450,539,678,681,773,933,1055,1211,1428,1481,1653,1674,1783,1923,2055,2209,2057,2190,2110,2214,2238,33381
gradient,0,0,0,0,0,0,0,0,8,20,31,19,30,41,67,42,92,125,179,191,239,348,539,552,731,854,1033,1329,1541,2013,2695,3139,3017,3167,3489,3823,4025,33379
hyperbolic,0,0,0,23,14,53,48,101,90,150,185,173,224,299,396,491,581,649,706,745,767,994,1014,1205,1343,1435,1697,1571,1741,1613,1824,2056,1962,1956,2124,2307,2605,33142
generated,0,0,0,19,33,53,35,65,84,125,140,166,201,259,330,453,480,580,677,772,807,958,1068,1221,1337,1476,1554,1683,1782,1792,1933,2089,1962,1998,2176,2275,2468,33051
behavior,0,0,0,8,0,14,8,22,15,44,67,76,77,143,181,247,335,488,517,599,707,977,1077,1251,1329,1399,1596,1557,1699,1779,1980,2217,2174,2062,2329,2648,3423,33045
due,0,0,0,9,9,14,19,29,43,67,91,95,129,153,173,221,290,375,428,490,582,749,879,989,1145,1211,1401,1634,1761,1874,2082,2326,2426,2450,2820,3023,2987,32974
mean,0,0,0,7,0,14,16,22,37,34,56,62,91,136,193,246,345,380,532,604,706,758,1028,1180,1239,1402,1532,1617,1783,1891,2090,2312,2343,2365,2490,2793,2607,32911
article,0,0,0,8,11,33,23,26,52,76,109,119,110,185,221,289,345,414,527,583,699,811,969,1026,1280,1346,1482,1497,1785,1967,2031,2293,2238,2300,2604,2756,2664,32879
rational,0,0,0,26,58,114,123,135,138,204,213,299,292,400,430,517,563,625,797,850,898,993,1054,1247,1335,1461,1652,1521,1589,1649,1810,2022,1900,1738,1928,1998,2207,32786
allows,0,0,0,5,16,24,30,37,42,72,102,112,172,156,210,277,314,369,488,519,648,819,936,1129,1225,1381,1592,1625,1729,1879,2082,2418,2368,2353,2401,2628,2493,32651
discuss,0,0,0,20,33,52,55,88,103,129,178,199,221,299,366,402,477,580,621,638,757,987,1100,1276,1375,1481,1603,1719,1789,1737,1915,2047,2020,2062,2130,2133,2016,32608
elements,0,0,0,19,38,45,41,61,70,102,159,168,205,267,300,356,457,488,606,659,716,900,995,1088,1364,1386,1512,1543,1669,1740,1883,2078,2248,2262,2346,2411,2416,32598
higher,0,0,0,9,24,31,42,80,93,110,137,224,182,236,251,358,357,442,536,589,687,826,970,1136,1270,1322,1533,1631,1690,1798,1943,2161,2267,2175,2292,2509,2572,32483
cohomology,0,0,0,30,58,90,147,183,206,312,308,435,432,514,614,725,712,846,990,946,939,1089,1147,1209,1274,1325,1335,1369,1342,1649,1557,1674,1622,1674,1838,1948,1913,32452
design,0,0,0,0,0,0,0,0,0,0,0,11,7,30,26,32,84,139,224,318,325,474,621,892,1069,1080,1306,1547,1754,1798,2284,2689,2866,2905,3140,3315,3491,32427
exact,0,0,0,8,14,8,32,42,61,76,135,133,164,184,232,313,364,403,497,504,688,910,1056,1228,1327,1415,1401,1575,1800,1705,1930,2186,2170,2108,2231,2544,2895,32339
inequality,0,0,0,5,21,13,25,17,32,33,49,56,104,118,222,234,315,377,519,529,707,743,1042,1163,1366,1520,1632,1536,1799,1904,1971,2177,2032,2139,2396,2533,2838,32167
characteristic,0,0,0,15,16,56,49,56,95,178,197,250,248,353,382,438,602,728,740,734,914,1074,1126,1241,1370,1420,1482,1567,1754,1615,1644,1858,1821,1849,1912,2098,2239,32121
studied,0,0,5,12,32,30,52,74,83,132,161,154,220,236,283,347,425,525,602,694,778,954,1068,1230,1312,1543,1602,1714,1727,1835,1961,2021,2000,2002,2118,2087,2024,32043
presented,0,0,0,15,37,54,70,64,84,96,163,167,158,220,239,309,449,478,544,609,702,914,1091,1285,1500,1495,1545,1656,1820,1888,2004,2276,2144,2034,1993,2014,1910,32027
extension,0,0,0,25,27,46,65,51,91,135,170,183,201,269,313,426,437,500,607,705,776,938,1041,1152,1326,1386,1505,1603,1760,1789,1869,2023,1911,1950,1965,2265,2393,31903
describe,0,0,0,21,33,53,54,71,104,131,168,218,235,329,332,477,502,613,710,796,884,1053,1106,1271,1379,1466,1491,1615,1681,1752,1759,1926,1825,1782,2001,2024,1937,31799
sufficient,0,0,0,6,13,29,27,35,36,70,82,134,129,177,197,291,337,458,567,586,749,824,1019,1132,1348,1502,1636,1690,1739,1895,1887,2117,2031,2068,2201,2270,2510,31792
define,0,0,0,14,35,54,60,98,127,145,157,193,237,284,378,439,524,577,698,709,811,988,1069,1157,1335,1396,1489,1558,1686,1641,1841,1888,1886,1983,1978,2120,2206,31761
fractional,0,0,0,0,0,0,12,15,27,20,36,40,47,66,104,75,190,290,397,373,466,699,811,891,1316,1310,1566,1965,2019,2351,2284,2392,2302,2165,2339,2384,2655,31607
regular,0,0,7,27,39,39,38,34,58,94,125,162,171,228,205,313,368,507,606,590,755,925,993,1177,1368,1485,1703,1577,1732,1900,1873,1944,1962,1852,1961,2256,2427,31501
schemes,0,0,0,0,0,20,17,19,19,28,54,67,100,85,108,155,203,280,310,475,522,716,863,1046,1323,1346,1387,1624,1812,1914,2129,2387,2465,2341,2371,2596,2662,31444
distance,0,0,0,0,0,13,17,10,29,33,32,54,70,117,185,181,285,310,358,434,519,714,924,928,1039,1229,1500,1448,1782,1867,2103,2261,2459,2351,2489,2678,2969,31388
quadratic,0,0,0,14,16,28,72,32,38,70,91,148,127,152,196,242,372,416,513,566,528,824,961,1027,1197,1288,1389,1501,1659,1798,1985,2110,2142,2180,2222,2550,2909,31363
least,0,0,0,7,21,27,25,35,40,80,109,94,118,159,187,290,332,340,443,561,629,744,996,1120,1399,1413,1586,1664,1853,1884,2015,2101,2070,2056,2141,2263,2491,31293
compute,0,0,0,7,24,32,46,34,85,113,129,139,172,218,287,341,384,481,604,606,698,880,932,1157,1207,1295,1466,1498,1572,1708,1972,2157,2088,2051,2136,2289,2308,31116
develop,0,0,0,12,5,16,13,22,32,58,56,69,91,108,135,201,262,315,356,387,432,575,775,887,1008,1142,1352,1407,1608,1721,1902,2305,2402,2359,2533,2890,3614,31050
techniques,0,0,0,12,12,22,28,22,33,60,76,96,116,126,154,234,235,316,366,476,496,699,812,981,1138,1278,1426,1505,1622,1726,1965,2149,2192,2150,2542,2922,3036,31023
novel,0,0,0,0,0,7,7,7,7,20,21,21,40,41,34,48,80,108,146,166,225,344,446,643,753,864,967,1119,1374,1518,1891,2411,2670,2721,3336,4272,4698,31005
projective,0,0,0,25,53,83,118,138,143,251,288,341,340,407,463,551,605,713,720,826,912,1029,1148,1150,1368,1277,1358,1592,1536,1527,1547,1682,1519,1558,1813,1877,2027,30985
times,0,0,0,0,8,19,28,38,42,55,79,82,95,89,190,265,323,385,459,504,570,759,881,1067,1205,1294,1341,1541,1702,1747,1990,2164,2160,2169,2265,2583,2816,30915
