,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
conditions,0,0,0,17,47,61,98,87,101,219,235,311,416,535,572,813,958,1179,1537,1748,2031,2415,2798,3483,3869,4175,4466,4706,5176,5433,5847,6364,6521,6384,6916,7577,8898,95993
field,0,0,0,47,103,131,168,195,318,458,661,768,741,933,1129,1248,1414,1706,1827,2061,2442,2886,3376,3738,3951,4145,4313,4457,4863,4925,5188,5413,5493,5644,5979,6730,6698,94149
properties,0,0,8,41,57,90,106,136,157,256,330,447,523,560,728,901,1088,1375,1579,1759,2036,2632,2908,3427,3854,4171,4529,4588,5088,5225,5813,6069,6056,6115,6459,7020,7548,93679
type,0,0,8,32,49,139,211,245,274,407,448,503,560,783,832,1171,1335,1462,1882,2019,2325,2800,3019,3605,4069,4229,4534,4890,5153,5287,5546,6032,5829,5597,5691,6224,6139,93329
particular,0,0,7,29,58,96,134,166,209,293,337,449,558,619,775,1011,1147,1478,1660,1847,2065,2556,3006,3388,3820,4205,4530,4774,4981,5239,5553,6070,6096,5879,6062,6272,6053,91422
graphs,0,0,0,0,22,73,42,37,41,85,137,173,154,224,345,479,671,874,1131,1129,1473,1865,2488,2994,3866,3850,4459,4700,5027,5428,5873,6379,6374,6614,7190,7604,8613,90414
numerical,0,0,0,10,11,21,20,19,27,51,100,125,148,153,242,279,407,453,623,762,906,1400,1700,2216,2800,3197,3756,4383,4782,5444,6333,7110,7702,7517,8109,9039,9755,89600
optimal,0,0,0,0,0,15,13,6,17,15,36,58,62,106,155,250,414,580,891,969,1191,1663,2048,2533,3084,3711,3897,4618,5184,5546,6264,7247,7096,7124,7572,8071,8717,89153
methods,0,0,0,11,23,23,41,57,72,94,177,193,242,218,309,390,468,658,810,934,1011,1532,1818,2110,2819,3216,3731,3897,4623,4949,5961,6814,7133,7441,7949,9263,9878,88865
models,0,0,0,29,70,72,72,115,169,189,293,301,305,423,433,609,849,1129,1323,1396,1545,2063,2441,2742,2914,3234,3707,3917,4163,4561,5245,6312,6360,6454,7372,8417,9354,88578
algebra,0,0,9,154,265,345,517,574,871,820,865,1031,1145,1297,1403,1616,1913,2050,2251,2504,2753,3163,3193,3562,3843,3865,3932,3908,4214,4042,4359,4439,4095,4270,4654,4973,5253,88148
terms,0,0,0,23,71,114,165,176,243,330,399,449,529,636,762,961,1104,1287,1630,1763,1871,2403,2702,3021,3315,3766,4043,4213,4617,4747,5165,5595,5587,5315,5692,6157,6115,84966
structure,0,0,0,38,112,179,176,288,333,373,501,574,667,867,890,1038,1250,1519,1677,1806,1999,2397,2663,2926,3313,3680,3785,4051,4161,4378,4838,5138,5049,4992,5540,5797,7372,84367
work,0,0,0,20,36,47,66,92,96,172,222,261,292,341,457,516,642,714,937,1134,1276,1682,2074,2343,2812,3058,3463,3756,4159,4576,5224,6089,6303,6565,7155,8117,9463,84160
boundary,0,0,6,10,39,34,45,78,127,225,272,326,429,479,555,871,820,1141,1352,1408,1634,2060,2374,3027,3178,3641,4036,4188,4510,5049,5141,5566,5656,5335,6033,6505,7269,83419
present,0,0,0,24,45,83,67,98,132,209,270,347,343,440,559,659,872,1053,1232,1413,1626,2133,2542,2780,3196,3506,3806,4055,4351,4525,4865,5468,5519,5179,5740,6075,6039,79251
local,0,0,0,27,25,63,64,102,149,212,276,398,339,508,622,756,887,1056,1431,1378,1493,1918,2360,2789,2999,3199,3781,3969,4159,4498,4714,5196,5345,5381,5632,6085,6676,78487
convergence,0,0,0,0,0,22,11,18,16,35,72,84,106,125,177,278,347,555,761,814,971,1239,1682,2111,2504,2733,3458,3711,4060,4557,5411,6236,6374,6429,6793,7796,8739,78225
operators,0,0,0,28,127,177,193,308,331,405,470,541,529,668,752,878,1087,1271,1525,1697,1745,2282,2431,2893,3058,3373,3847,3741,3982,4443,4421,4630,4629,4730,4884,5687,5971,77734
matrix,0,0,0,24,40,72,67,67,138,233,315,303,335,466,485,606,797,1000,1181,1285,1567,2053,2394,2653,3431,3457,3785,4031,4133,4324,4950,5353,5329,5266,5392,6109,6014,77655
algebras,0,0,8,69,216,279,422,428,534,636,727,873,903,1092,1168,1424,1658,1777,1975,2086,2336,2764,2597,2926,3311,3354,3433,3508,3718,3593,3858,4078,3726,4136,4293,4732,4955,77593
provide,0,0,0,12,17,32,29,44,55,75,133,154,158,239,244,387,521,634,821,957,1120,1463,1851,2228,2638,2994,3401,3660,4206,4439,4966,5799,5824,5995,6654,7494,8135,77379
obtain,0,0,5,18,29,50,103,114,129,205,253,284,365,425,565,720,876,1133,1347,1491,1681,2000,2446,2887,3078,3340,3679,3878,4229,4382,4872,5270,5152,5065,5375,5409,5174,76029
complex,0,0,0,68,74,140,198,245,273,392,522,687,668,820,986,1232,1290,1529,1750,1798,1888,2270,2597,2742,2918,3028,3377,3422,3695,3713,4117,4312,4299,4419,4866,5486,6142,75963
certain,0,0,12,40,79,142,162,181,242,313,476,508,583,699,802,1048,1126,1430,1675,1776,1963,2374,2515,2792,3340,3416,3682,3783,4011,4097,4395,4774,4443,4485,4646,5016,4898,75924
large,0,0,0,16,29,46,61,55,65,120,172,233,246,346,384,573,876,1003,1190,1327,1471,1867,2218,2661,2924,3363,3632,3966,4181,4292,4828,5319,5247,4989,5299,5918,5879,74796
operator,0,0,0,32,103,151,168,186,261,332,454,432,572,609,741,857,1059,1062,1355,1452,1633,2113,2203,2903,2839,3163,3403,3506,4052,4130,4210,4700,4628,4669,5019,5646,6011,74654
associated,0,0,0,31,76,123,140,162,218,287,378,435,482,661,704,903,1047,1310,1493,1615,1827,2106,2394,2782,2939,3046,3442,3579,3883,3962,4188,4539,4526,4550,4885,5360,5775,73848
existence,0,0,0,34,33,75,86,91,97,187,231,313,340,413,544,627,754,1038,1189,1355,1584,1913,2383,2618,2960,3317,3649,3902,4100,4310,4588,4804,4696,4757,5073,5591,5949,73601
use,0,0,0,25,30,59,63,93,121,186,253,296,325,422,455,651,823,1045,1205,1362,1532,1851,2332,2581,2937,3222,3403,3657,4085,4332,4579,5171,5177,5120,5217,5542,5010,73162
classical,0,0,0,30,64,105,125,151,221,309,393,392,415,580,622,837,934,1115,1265,1403,1684,1891,2232,2579,2871,3155,3042,3299,3522,3717,4048,4526,4485,4427,4845,5419,6965,71668
point,0,0,9,41,46,65,88,134,141,220,387,344,374,528,564,750,868,1070,1268,1379,1530,1923,2310,2550,2906,3234,3500,3662,3904,3984,4471,4780,4527,4490,4601,5009,5069,70726
let,0,0,12,53,107,147,138,205,169,291,373,460,448,651,833,1097,1260,1440,1647,1678,1842,2148,2547,2747,3055,3246,3451,3590,3821,3977,3891,4007,3905,4034,4184,4503,4439,70396
conjecture,0,0,0,27,48,67,111,120,192,299,373,413,439,610,805,910,975,1119,1231,1420,1626,1864,2196,2472,2653,3004,3062,3354,3658,3731,3833,4247,4119,4357,4531,5051,5462,68379
nonlinear,0,0,0,10,10,15,15,77,46,122,214,229,236,293,407,460,576,745,914,984,1135,1565,1713,2134,2391,2677,2898,3103,3657,3856,4495,5074,5179,5039,5551,6020,6483,68323
form,0,0,0,33,64,107,107,169,197,311,342,453,463,576,696,843,909,1079,1292,1519,1551,1944,2272,2752,2866,3086,3383,3417,3670,3554,3952,4286,4186,4186,4357,4727,4961,68310
stochastic,0,0,0,0,0,0,0,12,14,41,37,88,96,123,146,272,515,578,775,858,928,1416,1673,1974,2406,2683,2778,3339,3771,4188,4869,5455,5108,5235,5541,6401,6642,67962
known,0,0,0,24,33,76,91,69,116,175,233,258,284,397,463,577,779,984,1168,1263,1453,1904,2123,2485,2758,3032,3293,3482,3826,3813,4215,4621,4440,4550,4546,4809,5050,67390
generalized,0,0,0,22,75,84,116,148,155,228,299,367,447,476,546,734,986,1145,1188,1318,1390,1909,2195,2413,2755,3045,3269,3395,3537,3730,3931,4083,4193,4345,4587,4917,5198,67226
dimension,0,0,7,17,52,66,62,112,152,217,283,344,373,548,657,849,1010,1133,1323,1423,1630,1872,2112,2459,2603,3000,3261,3327,3670,3594,3950,4256,4180,4050,4735,4797,4929,67053
points,0,0,6,39,38,86,135,146,128,229,326,346,339,505,655,791,889,1131,1216,1263,1492,1821,2135,2417,2595,2990,3099,3263,3566,3603,4052,4264,4337,4209,4524,4985,5091,66711
