,1994,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
set,0,0,0,0,0,0,0,0,23,46,73,141,126,220,251,389,642,676,767,930,1025,1356,2227,3109,3194,1876,1753,1786,1791,1701,24102
first,0,0,0,0,0,0,0,0,23,27,77,109,148,143,215,273,460,483,626,728,908,1215,2054,2948,3303,1885,1912,2075,2091,2256,23959
existing,0,0,0,0,0,0,0,0,0,9,15,34,56,77,116,143,290,348,471,575,778,1081,1968,3018,3502,1777,1845,2169,2564,2990,23826
prediction,0,0,0,0,0,0,0,0,23,32,31,83,76,108,107,124,288,346,461,503,770,1198,2238,3476,3547,1687,1711,1857,2427,2664,23757
error,0,0,0,0,0,0,0,0,18,52,85,120,151,200,239,314,499,523,634,771,926,1214,1877,2427,2737,1912,1933,2064,2321,2567,23584
many,0,0,0,0,0,0,0,0,22,31,50,113,137,133,230,319,525,571,661,828,979,1298,2265,3023,3321,1861,1801,1753,1691,1682,23294
estimator,0,0,0,0,0,0,17,13,53,139,141,306,381,298,341,525,665,730,847,1008,1090,1313,1376,1777,1948,1790,1812,2003,2099,2285,22957
gaussian,0,0,0,0,0,0,0,0,25,45,59,123,174,193,260,360,637,693,744,990,1046,1290,1681,2005,2345,1915,1843,1908,2065,2377,22778
applications,0,0,0,0,0,0,0,0,21,44,63,111,122,150,238,262,479,504,580,775,903,1215,1968,2604,2969,1704,1687,1854,2144,2370,22767
test,0,0,0,0,0,0,0,0,8,50,89,124,204,207,225,264,487,609,708,803,1008,1194,1762,2360,2685,2027,1772,1789,2158,2157,22690
functions,0,0,0,0,0,0,0,11,27,81,83,172,154,232,226,348,507,572,625,813,986,1227,1811,2482,2796,1838,1611,1894,2062,2082,22640
stochastic,0,0,0,0,0,0,0,0,13,36,49,83,147,117,186,298,430,539,610,855,1035,1370,2033,2391,2805,1783,1746,1782,2099,2029,22436
experiments,0,0,0,0,0,0,0,0,0,11,27,55,53,75,103,138,336,348,450,539,724,1145,2078,3193,3346,1724,1666,1837,2119,2446,22413
classification,0,0,0,0,0,0,0,0,6,20,30,73,65,74,120,168,383,458,479,611,832,1365,2744,4396,3974,1418,1106,1254,1350,1399,22325
datasets,0,0,0,0,0,0,0,0,0,0,7,18,22,23,51,70,225,219,324,509,695,1083,2265,3548,3695,1578,1604,1658,2150,2377,22121
well,0,0,0,0,0,0,0,0,10,40,50,104,152,172,219,310,511,589,665,842,992,1299,2083,2838,2989,1831,1638,1518,1552,1448,21852
space,0,0,0,0,0,0,0,0,13,39,57,88,128,141,207,253,467,485,560,637,823,1169,1997,2987,3186,1648,1524,1736,1720,1919,21784
matrix,0,0,0,0,0,0,0,0,14,39,60,95,147,207,256,439,650,814,1017,1228,1182,1444,1751,2028,2200,1613,1490,1442,1799,1648,21563
structure,0,0,0,0,0,0,0,0,0,26,30,86,139,138,231,292,588,589,700,860,955,1209,1777,2480,2578,1619,1578,1608,1733,2160,21376
variables,0,0,0,0,0,0,6,0,28,50,84,161,185,206,299,408,684,705,772,883,1002,1173,1504,1746,2154,1642,1723,1794,2137,1998,21344
present,0,0,0,0,0,0,0,0,15,40,66,107,130,157,197,328,593,578,613,818,984,1243,2055,2787,2852,1487,1402,1562,1555,1574,21143
efficient,0,0,0,0,0,0,0,0,7,27,44,79,88,107,182,239,492,533,573,734,896,1114,1788,2465,2623,1517,1504,1652,1957,2188,20809
